item_id,order_id,product_id,quantity,unit_price,total_price
71,27,43,4.0,2892.26,11569.04
72,28,21,3.0,240.63,721.89
73,28,23,2.0,2488.99,4977.98
74,28,39,3.0,1767.66,5302.98
75,28,34,3.0,2823.38,8470.14
76,29,27,1.0,1282.64,1282.64
77,29,16,4.0,2820.36,11281.44
78,30,2,4.0,2296.06,9184.24
79,30,26,1.0,1541.75,1541.75
80,30,38,2.0,1600.41,3200.82
81,30,34,3.0,2418.98,7256.94
82,31,36,4.0,4983.49,19933.96
83,31,30,3.0,1823.87,5471.61
84,31,15,3.0,1602.45,4807.35
85,32,48,2.0,1646.18,3292.36
86,33,31,2.0,1160.28,2320.56
87,33,49,3.0,3650.47,10951.41
88,34,19,1.0,4179.88,4179.88
89,34,20,2.0,1868.32,3736.64
90,34,9,1.0,3569.29,3569.29
91,35,36,1.0,4874.05,4874.05
92,35,9,3.0,3517.35,10552.05
93,35,1,4.0,602.68,2410.72
94,36,22,4.0,2445.7,9782.8
95,36,17,2.0,4830.94,9661.88
96,36,5,4.0,659.03,2636.12
97,37,41,4.0,463.0,1852.0
98,37,37,1.0,843.46,843.46
99,37,16,3.0,517.39,1552.17
100,37,27,1.0,2834.56,2834.56
101,38,29,5.0,1963.85,9819.25
102,38,28,3.0,4314.82,12944.46
103,39,40,5.0,3143.03,15715.15
104,39,14,1.0,4743.19,4743.19
105,39,6,2.0,1396.77,2793.54
106,40,5,2.0,951.69,1903.38
107,40,29,2.0,113.11,226.22
108,41,19,3.0,259.94,779.82
109,41,30,3.0,3544.64,10633.92
110,41,17,1.0,3468.19,3468.19
111,41,13,5.0,3339.8,16699.0
112,42,42,1.0,2768.36,2768.36
113,42,10,2.0,4551.22,9102.44
114,42,20,1.0,392.23,392.23
115,42,37,5.0,3769.89,18849.45
116,43,45,4.0,709.33,2837.32
117,43,18,3.0,3528.7,10586.1
118,43,29,5.0,2745.91,13729.55
119,44,28,5.0,295.32,1476.6
120,45,6,5.0,1326.8,6634.0
121,45,37,2.0,4813.36,9626.72
122,45,49,5.0,4758.85,23794.25
123,46,49,5.0,297.14,1485.7
124,46,42,2.0,2405.45,4810.9
125,46,12,4.0,4588.76,18355.04
126,47,31,4.0,4848.37,19393.48
127,47,21,3.0,2100.91,6302.73
128,47,22,1.0,4302.89,4302.89
129,47,19,4.0,3499.0,13996.0
130,48,6,5.0,279.82,1399.1
131,48,8,3.0,1336.75,4010.25
132,48,1,4.0,4338.06,17352.24
133,48,4,5.0,2363.68,11818.4
134,49,49,5.0,1872.72,9363.6
135,49,49,4.0,3164.5,12658.0
136,50,9,2.0,1408.58,2817.16
137,51,32,4.0,4416.15,17664.6
138,51,41,1.0,241.46,241.46
139,51,46,5.0,4016.64,20083.2
140,52,36,3.0,2799.11,8397.33
141,52,8,4.0,556.73,2226.92
142,53,10,1.0,3273.78,3273.78
143,53,19,4.0,4670.0,18680.0
144,53,27,5.0,3556.52,17782.6
145,53,16,4.0,4903.2,19612.8
146,54,13,5.0,808.75,4043.75
147,54,9,5.0,2590.38,12951.9
148,54,27,1.0,1453.61,1453.61
149,54,33,3.0,4677.82,14033.46
150,55,20,1.0,1485.91,1485.91
151,55,43,5.0,2941.62,14708.1
152,55,29,4.0,4339.78,17359.12
153,56,49,3.0,1728.96,5186.88
154,56,21,5.0,1948.33,9741.65
155,56,16,2.0,4905.8,9811.6
156,56,50,5.0,1976.56,9882.8
157,57,31,1.0,1659.06,1659.06
158,57,43,4.0,1991.79,7967.16
159,57,3,2.0,2527.11,5054.22
160,57,38,2.0,2561.23,5122.46
161,58,29,1.0,4383.53,4383.53
162,58,30,1.0,2677.16,2677.16
163,58,27,1.0,3639.97,3639.97
164,59,17,1.0,2400.5,2400.5
165,59,26,3.0,3153.97,9461.91
166,60,35,3.0,4276.47,12829.41
167,61,49,3.0,3171.32,9513.96
168,61,3,4.0,4374.68,17498.72
169,61,41,5.0,435.26,2176.3
170,61,48,3.0,4987.39,14962.17
171,62,49,4.0,4893.85,19575.4
172,63,20,4.0,915.19,3660.76
173,64,4,1.0,1689.44,1689.44
174,65,10,3.0,1936.72,5810.16
175,65,37,2.0,2702.71,5405.42
176,65,6,2.0,932.92,1865.84
177,66,32,5.0,3447.36,17236.8
178,66,30,5.0,801.28,4006.4
179,66,43,3.0,2351.9,7055.7
180,66,30,1.0,4504.65,4504.65
181,67,29,5.0,874.08,4370.4
182,67,20,3.0,4939.49,14818.47
183,67,30,4.0,3482.54,13930.16
184,68,31,2.0,4996.93,9993.86
185,68,37,1.0,1262.31,1262.31
186,68,45,3.0,2916.58,8749.74
187,69,43,1.0,4891.93,4891.93
188,69,37,4.0,1444.95,5779.8
189,69,48,1.0,4562.02,4562.02
190,70,15,3.0,3901.13,11703.39
191,70,15,5.0,4029.47,20147.35
192,70,44,2.0,3142.37,6284.74
193,70,41,2.0,3178.42,6356.84
194,71,3,3.0,3964.19,11892.57
195,72,19,2.0,541.65,1083.3
196,72,12,3.0,3762.66,11287.98
197,72,35,2.0,747.58,1495.16
198,73,18,5.0,2558.79,12793.95
199,73,31,2.0,1359.15,2718.3
200,73,22,3.0,3758.14,11274.42
201,74,10,4.0,4818.18,19272.72
202,75,36,4.0,4839.62,19358.48
203,75,26,3.0,542.48,1627.44
204,76,30,3.0,2729.2,8187.6
205,77,41,3.0,2964.34,8893.02
206,77,15,3.0,630.9,1892.7
207,77,36,4.0,222.62,890.48
208,78,5,5.0,1184.7,5923.5
209,78,20,4.0,4556.0,18224.0
210,78,3,4.0,671.71,2686.84
211,79,8,3.0,4980.04,14940.12
212,80,9,2.0,4447.57,8895.14
213,81,48,4.0,1917.96,7671.84
214,81,48,5.0,2153.72,10768.6
215,81,42,2.0,4438.53,8877.06
216,81,40,1.0,4185.1,4185.1
217,82,24,3.0,260.31,780.93
218,82,16,2.0,2272.58,4545.16
219,82,44,3.0,586.84,1760.52
220,82,42,3.0,2767.88,8303.64
221,83,13,1.0,2050.88,2050.88
222,83,30,1.0,4750.15,4750.15
223,83,42,1.0,3347.57,3347.57
224,84,16,1.0,3955.29,3955.29
225,85,49,5.0,1105.51,5527.55
226,85,14,5.0,1115.07,5575.35
227,86,39,3.0,3894.41,11683.23
228,86,10,1.0,1458.65,1458.65
229,87,12,5.0,1328.21,6641.05
230,87,2,1.0,3339.18,3339.18
231,88,16,1.0,1855.39,1855.39
232,88,12,5.0,1686.48,8432.4
233,89,27,1.0,721.12,721.12
234,89,5,5.0,656.88,3284.4
235,89,24,4.0,2296.55,9186.2
236,90,40,4.0,2568.81,10275.24
237,91,42,5.0,1577.99,7889.95
238,92,26,1.0,4993.08,4993.08
239,93,29,1.0,2502.32,2502.32
240,93,21,1.0,4506.41,4506.41
241,93,9,5.0,826.84,4134.2
242,93,38,3.0,3159.16,9477.48
243,94,34,4.0,4973.68,19894.72
244,94,39,3.0,2323.21,6969.63
245,94,45,4.0,585.97,2343.88
246,95,14,5.0,3632.12,18160.6
247,96,27,4.0,4451.65,17806.6
248,96,26,3.0,4154.35,12463.05
249,96,21,4.0,3675.1,14700.4
250,96,17,4.0,1631.37,6525.48
251,97,31,2.0,3465.42,6930.84
252,97,6,1.0,547.0,547.0
253,97,48,1.0,2216.19,2216.19
254,98,38,2.0,2826.22,5652.44
255,98,43,5.0,2852.25,14261.25
256,98,43,1.0,2112.96,2112.96
257,99,39,1.0,4845.15,4845.15
258,99,37,3.0,1823.07,5469.21
259,99,43,5.0,1142.42,5712.1
260,99,7,4.0,1198.8,4795.2
261,100,49,5.0,1901.05,9505.25
262,100,28,3.0,2913.09,8739.27
263,100,40,5.0,4875.28,24376.4
264,101,45,5.0,4652.51,23262.55
265,102,45,1.0,984.04,984.04
266,102,23,3.0,4615.53,13846.59
267,102,10,1.0,988.89,988.89
268,103,41,1.0,795.19,795.19
269,103,34,1.0,549.61,549.61
270,103,30,2.0,1943.35,3886.7
271,103,20,3.0,871.31,2613.93
272,104,4,5.0,3021.5,15107.5
273,104,40,2.0,871.31,1742.62
274,104,18,1.0,3402.45,3402.45
275,105,29,4.0,2479.74,9918.96
276,105,49,4.0,1438.52,5754.08
277,105,28,5.0,657.71,3288.55
278,105,44,1.0,1487.91,1487.91
279,106,3,5.0,3368.95,16844.75
280,106,39,2.0,2036.79,4073.58
281,106,20,1.0,137.67,137.67
282,106,49,2.0,3860.01,7720.02
283,107,1,3.0,1707.8,5123.4
284,107,12,4.0,3760.37,15041.48
285,107,46,2.0,1963.02,3926.04
286,108,43,5.0,2837.75,14188.75
287,108,48,3.0,453.17,1359.51
288,109,5,4.0,191.83,767.32
289,110,26,5.0,2203.49,11017.45
290,110,26,4.0,1518.62,6074.48
291,110,11,1.0,4834.38,4834.38
292,111,7,3.0,531.84,1595.52
293,111,26,2.0,2234.81,4469.62
294,111,20,5.0,485.37,2426.85
295,111,50,3.0,1185.7,3557.1
296,112,8,1.0,2601.37,2601.37
297,112,50,5.0,2598.77,12993.85
298,113,42,3.0,3664.16,10992.48
299,113,10,2.0,1257.72,2515.44
300,113,39,3.0,1066.63,3199.89
301,114,50,1.0,968.02,968.02
302,114,37,4.0,2373.37,9493.48
303,115,40,5.0,3250.66,16253.3
304,115,41,3.0,4334.81,13004.43
305,115,5,3.0,839.69,2519.07
306,115,20,4.0,2266.82,9067.28
307,116,33,5.0,375.24,1876.2
308,116,29,1.0,1621.0,1621.0
309,116,19,1.0,378.76,378.76
310,117,33,1.0,3113.54,3113.54
311,118,48,4.0,2943.61,11774.44
312,118,37,1.0,2303.7,2303.7
313,118,31,2.0,1675.48,3350.96
314,118,4,5.0,839.22,4196.1
315,119,22,1.0,4073.74,4073.74
316,119,12,1.0,2572.29,2572.29
317,119,29,1.0,1313.94,1313.94
318,119,40,4.0,2667.94,10671.76
319,120,19,3.0,1926.97,5780.91
320,120,22,4.0,2102.97,8411.88
321,121,7,3.0,422.97,1268.91
322,122,43,3.0,1334.78,4004.34
323,122,22,5.0,4379.07,21895.35
324,122,10,1.0,2955.42,2955.42
325,122,42,3.0,1620.14,4860.42
326,123,6,2.0,3015.7,6031.4
327,123,42,3.0,2838.72,8516.16
328,123,43,3.0,4084.61,12253.83
329,123,43,5.0,557.92,2789.6
330,124,24,5.0,1872.96,9364.8
331,124,14,3.0,983.29,2949.87
332,124,32,3.0,4743.57,14230.71
333,124,9,2.0,1210.06,2420.12
334,125,7,1.0,1549.38,1549.38
335,125,48,5.0,3877.29,19386.45
336,126,40,3.0,4394.32,13182.96
337,127,11,5.0,1945.93,9729.65
338,127,50,2.0,4173.59,8347.18
339,128,24,4.0,314.09,1256.36
340,128,40,2.0,4850.98,9701.96
341,129,16,4.0,1246.61,4986.44
342,129,31,3.0,4831.42,14494.26
343,129,37,2.0,1902.42,3804.84
344,130,50,4.0,3870.25,15481.0
345,130,27,4.0,2564.24,10256.96
346,130,39,2.0,4102.77,8205.54
347,130,4,2.0,4377.71,8755.42
348,131,7,3.0,2817.25,8451.75
349,131,19,5.0,4270.71,21353.55
350,131,18,1.0,3839.27,3839.27
351,131,10,4.0,4536.0,18144.0
352,132,15,1.0,4737.42,4737.42
353,132,2,4.0,4434.69,17738.76
354,132,33,4.0,360.96,1443.84
355,132,6,3.0,1255.31,3765.93
356,133,7,2.0,238.12,476.24
357,133,9,3.0,3977.77,11933.31
358,133,31,1.0,1505.71,1505.71
359,134,1,4.0,2298.15,9192.6
360,134,14,1.0,193.12,193.12
361,135,39,5.0,4707.11,23535.55
362,135,50,5.0,2173.95,10869.75
363,136,4,2.0,1575.64,3151.28
364,136,40,2.0,2157.15,4314.3
365,136,32,4.0,407.76,1631.04
366,137,46,5.0,2917.73,14588.65
367,138,40,3.0,2203.27,6609.81
368,138,27,3.0,1278.76,3836.28
369,139,24,1.0,2665.07,2665.07
370,139,35,1.0,4771.68,4771.68
371,140,3,4.0,4379.32,17517.28
372,141,2,3.0,1342.89,4028.67
373,141,23,3.0,3963.75,11891.25
374,141,41,2.0,3691.41,7382.82
375,141,48,1.0,3880.36,3880.36
376,142,35,2.0,317.24,634.48
377,142,12,3.0,4086.19,12258.57
378,142,31,4.0,4906.01,19624.04
379,143,50,2.0,409.19,818.38
380,143,13,4.0,281.22,1124.88
381,144,21,2.0,4440.37,8880.74
382,145,35,5.0,2051.3,10256.5
383,145,49,4.0,1341.24,5364.96
384,145,50,2.0,1501.94,3003.88
385,146,24,3.0,1438.76,4316.28
386,147,25,4.0,3742.21,14968.84
387,147,32,3.0,4871.25,14613.75
388,147,34,4.0,1900.0,7600.0
389,147,47,3.0,4025.63,12076.89
390,148,12,1.0,2209.98,2209.98
391,148,7,5.0,1539.46,7697.3
392,148,19,1.0,1706.81,1706.81
393,148,46,3.0,2284.99,6854.97
394,149,23,2.0,3479.85,6959.7
395,149,23,4.0,307.54,1230.16
396,149,18,5.0,4990.94,24954.7
397,149,41,1.0,467.7,467.7
398,150,48,3.0,2614.12,7842.36
399,150,10,2.0,4768.67,9537.34
400,150,29,5.0,3422.64,17113.2
401,150,16,1.0,718.53,718.53
402,151,37,3.0,1975.99,5927.97
403,151,44,1.0,3064.96,3064.96
404,151,24,4.0,4749.24,18996.96
405,152,34,1.0,2912.22,2912.22
406,152,42,3.0,2050.37,6151.11
407,152,8,3.0,1323.1,3969.3
408,152,32,1.0,3704.81,3704.81
409,153,50,5.0,677.03,3385.15
410,153,14,3.0,3549.79,10649.37
411,153,32,5.0,1499.33,7496.65
412,153,5,2.0,700.92,1401.84
413,154,29,2.0,4503.53,9007.06
414,154,21,1.0,4071.51,4071.51
415,154,36,3.0,3576.75,10730.25
416,154,20,5.0,1522.78,7613.9
417,155,33,2.0,3989.11,7978.22
418,155,13,2.0,694.68,1389.36
419,156,2,2.0,3972.83,7945.66
420,156,24,3.0,2814.71,8444.13
421,157,6,5.0,735.88,3679.4
422,157,46,1.0,1615.52,1615.52
423,157,50,4.0,2675.91,10703.64
424,157,5,4.0,4134.36,16537.44
425,158,29,3.0,3247.46,9742.38
426,158,23,4.0,3432.53,13730.12
427,159,12,5.0,3234.99,16174.95
428,159,4,2.0,2219.83,4439.66
429,160,11,5.0,849.78,4248.9
430,161,15,3.0,4680.22,14040.66
431,161,34,3.0,4742.67,14228.01
432,162,41,1.0,1327.97,1327.97
433,162,41,5.0,1444.81,7224.05
434,162,6,3.0,3110.7,9332.1
435,163,10,5.0,4713.87,23569.35
436,163,47,2.0,3327.79,6655.58
437,164,2,5.0,301.85,1509.25
438,164,42,1.0,322.76,322.76
439,164,14,5.0,1396.81,6984.05
440,165,32,5.0,3231.06,16155.3
441,165,20,5.0,1519.39,7596.95
442,165,44,4.0,1299.9,5199.6
443,165,5,4.0,1557.43,6229.72
444,166,31,2.0,2254.07,4508.14
445,167,10,2.0,1766.94,3533.88
446,167,21,3.0,4321.28,12963.84
447,167,9,3.0,4879.33,14637.99
448,167,7,3.0,2623.4,7870.2
449,168,18,2.0,2385.72,4771.44
450,168,7,4.0,1314.8,5259.2
451,168,25,1.0,1522.04,1522.04
452,169,11,2.0,4817.16,9634.32
453,169,47,3.0,4675.38,14026.14
454,169,11,3.0,1030.19,3090.57
455,169,30,4.0,4980.25,19921.0
456,170,6,3.0,2537.11,7611.33
457,170,16,4.0,2576.68,10306.72
458,170,4,2.0,2958.39,5916.78
459,170,39,1.0,1478.65,1478.65
460,171,7,3.0,2729.78,8189.34
461,171,17,4.0,756.28,3025.12
462,171,24,3.0,3842.9,11528.7
463,171,37,1.0,2062.85,2062.85
464,172,5,3.0,2810.79,8432.37
465,172,49,4.0,2570.85,10283.4
466,173,8,5.0,3433.95,17169.75
467,173,26,2.0,4877.91,9755.82
468,173,22,3.0,3995.0,11985.0
469,174,33,2.0,1075.38,2150.76
470,174,3,4.0,2550.38,10201.52
471,174,22,1.0,771.48,771.48
472,175,39,5.0,2339.24,11696.2
473,175,40,5.0,784.93,3924.65
474,175,40,3.0,896.26,2688.78
475,175,33,3.0,3009.25,9027.75
476,176,2,5.0,1568.97,7844.85
477,176,8,3.0,1723.07,5169.21
478,176,47,4.0,2960.14,11840.56
479,176,17,1.0,3024.86,3024.86
480,177,11,1.0,2959.26,2959.26
481,177,40,5.0,3182.22,15911.1
482,178,16,2.0,4126.14,8252.28
483,178,45,1.0,2905.59,2905.59
484,178,29,1.0,1034.84,1034.84
485,178,27,3.0,2152.02,6456.06
486,179,40,4.0,2558.92,10235.68
487,179,48,4.0,4376.81,17507.24
488,180,36,2.0,2641.55,5283.1
489,181,21,4.0,2674.84,10699.36
490,181,35,2.0,2352.35,4704.7
491,181,44,3.0,2776.74,8330.22
492,182,16,5.0,2472.48,12362.4
493,182,15,3.0,2834.62,8503.86
494,182,46,3.0,3878.75,11636.25
495,183,23,4.0,1653.5,6614.0
496,183,47,5.0,4675.13,23375.65
497,184,44,3.0,697.18,2091.54
498,184,26,5.0,1960.5,9802.5
499,184,10,3.0,4777.58,14332.74
500,185,46,1.0,1509.39,1509.39
501,185,29,1.0,1797.18,1797.18
502,185,14,3.0,3761.96,11285.88
503,186,36,5.0,1428.55,7142.75
504,186,40,3.0,772.64,2317.92
505,187,34,2.0,348.75,697.5
506,187,4,2.0,3225.93,6451.86
507,188,31,4.0,1718.44,6873.76
508,189,36,2.0,125.39,250.78
509,190,31,4.0,3299.17,13196.68
510,190,49,4.0,3287.64,13150.56
511,191,4,3.0,1498.54,4495.62
512,191,15,1.0,3296.26,3296.26
513,191,3,5.0,3719.56,18597.8
514,192,12,4.0,4423.0,17692.0
515,192,26,1.0,4986.14,4986.14
516,193,19,2.0,4689.38,9378.76
517,193,37,1.0,145.41,145.41
518,193,22,5.0,625.77,3128.85
519,193,42,3.0,2326.31,6978.93
520,194,30,2.0,4270.19,8540.38
521,194,8,3.0,1044.78,3134.34
522,194,30,3.0,896.22,2688.66
523,194,1,3.0,3621.13,10863.39
524,195,49,3.0,2882.13,8646.39
525,195,41,2.0,959.93,1919.86
526,195,33,4.0,4152.25,16609.0
527,196,7,1.0,2064.08,2064.08
528,196,31,2.0,4910.26,9820.52
529,196,1,3.0,4685.54,14056.62
530,197,49,4.0,1254.05,5016.2
531,197,20,3.0,4774.77,14324.31
532,197,1,5.0,3642.12,18210.6
533,198,4,3.0,3494.57,10483.71
534,198,11,1.0,2380.44,2380.44
535,198,46,4.0,3461.76,13847.04
536,199,19,1.0,3229.69,3229.69
537,199,15,3.0,3111.66,9334.98
538,199,30,2.0,2443.09,4886.18
539,200,31,4.0,3539.51,14158.04
540,200,14,5.0,4029.78,20148.9
541,200,39,2.0,3433.68,6867.36
