date,region,category,total_revenue,order_count,average_order_value
2025-01-06,South,Electronics,1391490.09,27,51536.67
2025-01-06,South,Grocery,1798365.83,29,62012.61
2025-01-06,South,Home & Kitchen,1957410.78,32,61169.09
2025-01-06,South,Sports,1201360.09,23,52233.05
2025-01-06,South,Toys,1545728.9,32,48304.03
2025-01-06,West,Beauty,1564212.65,31,50458.47
2025-01-06,West,Books,847770.41,19,44619.5
2025-01-06,West,Clothing,1055080.92,20,52754.05
2025-01-06,West,Electronics,954641.96,17,56155.41
2025-01-06,West,Grocery,1207621.41,27,44726.72
2025-01-06,West,Home & Kitchen,1417695.4,28,50631.98
2025-01-06,West,Sports,1031114.96,25,41244.6
2025-01-06,West,Toys,1990696.68,32,62209.27
2025-01-07,Central,Beauty,1959623.88,30,65320.8
2025-01-07,Central,Books,1024294.27,27,37936.82
2025-01-07,Central,Clothing,1560136.71,29,53797.82
2025-01-07,Central,Electronics,2262041.76,32,70688.81
2025-01-07,Central,Grocery,1289862.49,26,49610.1
2025-01-07,Central,Home & Kitchen,1670114.03,32,52191.06
2025-01-07,Central,Sports,1479528.2,32,46235.26
2025-01-07,Central,Toys,1686712.45,29,58162.5
2025-01-07,East,Beauty,2018231.6,29,69594.19
2025-01-07,East,Books,847267.41,18,47070.41
2025-01-07,East,Clothing,1693712.91,29,58403.89
2025-01-07,East,Electronics,1731972.57,24,72165.52
2025-01-07,East,Grocery,1169577.33,24,48732.39
2025-01-07,East,Home & Kitchen,751841.67,17,44225.98
2025-01-07,East,Sports,1494358.04,21,71159.91
2025-01-07,East,Toys,1163364.2,24,48473.51
2025-01-07,North,Beauty,1427488.6,33,43257.23
2025-01-07,North,Books,1443087.34,28,51538.83
2025-01-07,North,Clothing,1711492.02,36,47541.45
2025-01-07,North,Electronics,1401201.18,31,45200.04
2025-01-07,North,Grocery,2234666.14,40,55866.65
2025-01-07,North,Home & Kitchen,1833314.75,34,53921.02
2025-01-07,North,Sports,1421393.32,28,50764.05
2025-01-07,North,Toys,2220507.86,40,55512.7
2025-01-07,South,Beauty,1460152.4,28,52148.3
2025-01-07,South,Books,1663773.58,24,69323.9
2025-01-07,South,Clothing,1043468.23,22,47430.37
2025-01-07,South,Electronics,1322388.78,25,52895.55
2025-01-07,South,Grocery,1597640.95,28,57058.61
2025-01-07,South,Home & Kitchen,1659474.23,30,55315.81
2025-01-07,South,Sports,1215831.88,22,55265.09
2025-01-07,South,Toys,1162309.61,21,55348.08
2025-01-07,West,Beauty,2106330.57,39,54008.48
2025-01-07,West,Books,1954987.48,34,57499.63
2025-01-07,West,Clothing,1932205.74,36,53672.38
2025-01-07,West,Electronics,1610617.63,30,53687.25
2025-01-07,West,Grocery,1857007.98,43,43186.23
2025-01-07,West,Home & Kitchen,1060340.81,25,42413.63
2025-01-07,West,Sports,1931404.64,38,50826.44
2025-01-07,West,Toys,1609628.05,33,48776.61
2025-01-08,Central,Beauty,1412325.35,30,47077.51
2025-01-08,Central,Books,1731924.58,28,61854.45
2025-01-08,Central,Clothing,1359391.53,26,52284.29
2025-01-08,Central,Electronics,1436078.64,33,43517.53
2025-01-08,Central,Grocery,1445721.4,28,51632.91
2025-01-08,Central,Home & Kitchen,2061754.35,35,58907.27
2025-01-08,Central,Sports,1292851.69,24,53868.82
2025-01-08,Central,Toys,1155447.1,28,41265.97
2025-01-08,East,Beauty,1982746.64,40,49568.67
2025-01-08,East,Books,2480998.03,39,63615.33
2025-01-08,East,Clothing,1429933.18,25,57197.33
2025-01-08,East,Electronics,1830087.93,33,55457.21
2025-01-08,East,Grocery,1714306.21,32,53572.07
2025-01-08,East,Home & Kitchen,2430954.48,46,52846.84
2025-01-08,East,Sports,1646214.45,34,48418.07
2025-01-08,East,Toys,1302566.29,30,43418.88
2025-01-08,North,Beauty,1363453.05,22,61975.14
2025-01-08,North,Books,1540293.63,26,59242.06
2025-01-08,North,Clothing,1001508.65,23,43543.85
2025-01-08,North,Electronics,1262563.59,22,57389.25
2025-01-08,North,Grocery,1338586.2,30,44619.54
2025-01-08,North,Home & Kitchen,1572860.81,26,60494.65
2025-01-08,North,Sports,1333816.46,30,44460.55
2025-01-08,North,Toys,1426700.71,37,38559.48
2025-01-08,South,Beauty,862247.21,20,43112.36
2025-01-08,South,Books,1480602.29,27,54837.12
2025-01-08,South,Clothing,1230836.01,20,61541.8
2025-01-08,South,Electronics,1316895.35,27,48773.9
2025-01-08,South,Grocery,1606686.79,33,48687.48
2025-01-08,South,Home & Kitchen,1202787.23,24,50116.13
2025-01-08,South,Sports,1283240.49,27,47527.43
2025-01-08,South,Toys,1952741.31,30,65091.38
2025-01-08,West,Beauty,1251078.59,26,48118.41
2025-01-08,West,Books,1405813.68,28,50207.63
2025-01-08,West,Clothing,1161600.06,25,46464.0
2025-01-08,West,Electronics,1348124.42,22,61278.38
2025-01-08,West,Grocery,1224987.51,24,51041.15
2025-01-08,West,Home & Kitchen,1744464.85,33,52862.57
2025-01-08,West,Sports,1593718.45,28,56918.52
2025-01-08,West,Toys,1957448.22,37,52904.01
2025-01-09,Central,Beauty,1325546.85,26,50982.57
2025-01-09,Central,Books,1257020.14,25,50280.81
2025-01-09,Central,Clothing,1127482.41,26,43364.71
2025-01-09,Central,Electronics,1145767.23,23,49815.97
2025-01-09,Central,Grocery,1190541.77,28,42519.35
2025-01-09,Central,Home & Kitchen,1182741.2,25,47309.65
2025-01-09,Central,Sports,1421753.3,30,47391.78
2025-01-09,Central,Toys,2737902.35,41,66778.11
2025-01-09,East,Beauty,1357990.27,30,45266.34
2025-01-09,East,Books,1187333.0,25,47493.32
2025-01-09,East,Clothing,1675486.36,31,54047.95
2025-01-09,East,Electronics,1581485.59,23,68760.24
2025-01-09,East,Grocery,1751569.14,28,62556.04
2025-01-09,East,Home & Kitchen,1243353.6,31,40108.18
2025-01-09,East,Sports,1417677.91,27,52506.59
2025-01-09,East,Toys,2294687.71,34,67490.82
2025-01-09,North,Beauty,1383514.66,28,49411.24
2025-01-09,North,Books,1474695.9,32,46084.25
2025-01-09,North,Clothing,1455512.03,33,44106.43
2025-01-09,North,Electronics,900216.88,19,47379.84
2025-01-09,North,Grocery,1042118.72,25,41684.75
2025-01-09,North,Home & Kitchen,2102582.46,34,61840.66
2025-01-09,North,Sports,1196342.61,23,52014.9
2025-01-09,North,Toys,1514500.87,28,54089.32
2025-01-09,South,Beauty,1297451.45,24,54060.48
2025-01-09,South,Books,1629437.73,35,46555.36
2025-01-09,South,Clothing,1694178.58,27,62747.35
2025-01-09,South,Electronics,1507326.8,25,60293.07
2025-01-09,South,Grocery,1081302.11,28,38617.93
2025-01-09,South,Home & Kitchen,1319406.23,28,47121.65
2025-01-09,South,Sports,1485659.92,30,49522.0
2025-01-09,South,Toys,1449722.57,28,51775.81
2025-01-09,West,Beauty,1668966.77,29,57550.58
2025-01-09,West,Books,1241582.87,31,40051.06
2025-01-09,West,Clothing,882227.64,24,36759.49
2025-01-09,West,Electronics,1688727.35,34,49668.45
2025-01-09,West,Grocery,1523973.42,34,44822.75
2025-01-09,West,Home & Kitchen,899874.39,20,44993.72
2025-01-09,West,Sports,2795897.54,43,65020.87
2025-01-09,West,Toys,1862487.0,33,56439.0
2025-01-10,Central,Beauty,1340620.11,30,44687.34
2025-01-10,Central,Books,1505764.51,21,71703.07
2025-01-10,Central,Clothing,1940536.68,28,69304.88
2025-01-10,Central,Electronics,1849564.66,35,52844.7
2025-01-10,Central,Grocery,1876585.03,33,56866.21
2025-01-10,Central,Home & Kitchen,2049280.15,32,64040.0
2025-01-10,Central,Sports,1632764.85,29,56302.24
2025-01-10,Central,Toys,1858697.4,37,50235.06
2025-01-10,East,Beauty,1221417.65,26,46977.6
2025-01-10,East,Books,863832.95,25,34553.32
2025-01-10,East,Clothing,1191746.39,22,54170.29
2025-01-10,East,Electronics,1476879.92,27,54699.26
2025-01-10,East,Grocery,1810019.4,30,60333.98
2025-01-10,East,Home & Kitchen,1508182.42,31,48651.05
2025-01-10,East,Sports,1922449.2,29,66291.35
2025-01-10,East,Toys,1276419.43,24,53184.14
2025-01-10,North,Beauty,1440019.4,27,53334.05
2025-01-10,North,Books,1012995.3,20,50649.77
2025-01-10,North,Clothing,1556145.37,28,55576.62
2025-01-10,North,Electronics,483553.33,15,32236.89
2025-01-10,North,Grocery,1223054.31,25,48922.17
2025-01-10,North,Home & Kitchen,937018.94,27,34704.41
2025-01-10,North,Sports,1137997.11,20,56899.86
2025-01-10,North,Toys,1255885.21,29,43306.39
2025-01-10,South,Beauty,1333348.83,20,66667.44
2025-01-10,South,Books,1867695.49,31,60248.24
2025-01-10,South,Clothing,1677120.66,30,55904.02
2025-01-10,South,Electronics,1664821.8,25,66592.87
2025-01-10,South,Grocery,1349853.2,30,44995.11
2025-01-10,South,Home & Kitchen,1702360.92,28,60798.6
2025-01-10,South,Sports,1464471.16,32,45764.72
2025-01-10,South,Toys,1211233.59,23,52662.33
2025-01-10,West,Beauty,1744453.2,27,64609.38
2025-01-10,West,Books,1140107.88,23,49569.91
2025-01-10,West,Clothing,1163782.35,20,58189.12
2025-01-10,West,Electronics,1531824.44,24,63826.02
2025-01-10,West,Grocery,1251751.82,26,48144.3
2025-01-10,West,Home & Kitchen,1023323.99,21,48729.71
2025-01-10,West,Sports,899895.52,21,42852.17
2025-01-10,West,Toys,1310091.51,29,45175.57
2025-01-11,Central,Beauty,1158139.15,26,44543.81
2025-01-11,Central,Books,1772246.44,30,59074.88
2025-01-11,Central,Clothing,1164119.05,35,33260.54
2025-01-11,Central,Electronics,1443318.39,26,55512.25
2025-01-11,Central,Grocery,971995.58,25,38879.82
2025-01-11,Central,Home & Kitchen,1064864.89,26,40956.34
2025-01-11,Central,Sports,1611107.73,32,50347.12
2025-01-11,Central,Toys,1963797.0,38,51678.87
2025-01-11,East,Beauty,1980979.25,39,50794.34
2025-01-11,East,Books,2004121.18,36,55670.03
2025-01-11,East,Clothing,1585524.66,33,48046.2
2025-01-11,East,Electronics,1631719.42,30,54390.65
2025-01-11,East,Grocery,1512424.77,26,58170.18
2025-01-11,East,Home & Kitchen,1747867.99,27,64735.85
2025-01-11,East,Sports,1842114.51,36,51169.85
2025-01-11,East,Toys,1788560.54,33,54198.8
2025-01-11,North,Beauty,1025151.13,21,48816.72
2025-01-11,North,Books,1176742.17,23,51162.7
2025-01-11,North,Clothing,789273.66,16,49329.6
2025-01-11,North,Electronics,1079636.2,22,49074.37
2025-01-11,North,Grocery,1284224.35,22,58373.83
2025-01-11,North,Home & Kitchen,1755961.23,25,70238.45
2025-01-11,North,Sports,881769.63,15,58784.64
2025-01-11,North,Toys,1399753.23,22,63625.15
2025-01-11,South,Beauty,1594797.21,29,54993.01
2025-01-11,South,Books,1560001.15,35,44571.46
2025-01-11,South,Clothing,1773904.74,33,53754.69
2025-01-11,South,Electronics,1823589.78,37,49286.21
2025-01-11,South,Grocery,1534952.3,35,43855.78
2025-01-11,South,Home & Kitchen,1118247.65,21,53249.89
2025-01-11,South,Sports,1696498.17,32,53015.57
2025-01-11,South,Toys,1950421.01,38,51326.87
2025-01-11,West,Beauty,1309822.66,31,42252.34
2025-01-11,West,Books,1365142.44,30,45504.75
2025-01-11,West,Clothing,1388549.45,24,57856.23
2025-01-11,West,Electronics,1405607.99,26,54061.85
2025-01-11,West,Grocery,1536953.89,30,51231.8
2025-01-11,West,Home & Kitchen,1361450.75,35,38898.59
2025-01-11,West,Sports,1090473.21,25,43618.93
2025-01-11,West,Toys,1353213.16,27,50119.01
2025-01-12,Central,Beauty,1100368.91,25,44014.76
2025-01-12,Central,Books,1749906.05,29,60341.59
2025-01-12,Central,Clothing,932745.56,22,42397.53
2025-01-12,Central,Electronics,1239195.25,27,45896.12
2025-01-12,Central,Grocery,1229508.84,22,55886.77
2025-01-12,Central,Home & Kitchen,1509769.12,24,62907.05
2025-01-12,Central,Sports,1031128.31,23,44831.67
2025-01-12,Central,Toys,1542659.46,28,55094.98
2025-01-12,East,Beauty,1034529.9,21,49263.33
2025-01-12,East,Books,1259313.73,24,52471.41
2025-01-12,East,Clothing,1432097.99,31,46196.71
2025-01-12,East,Electronics,1256596.7,21,59837.94
2025-01-12,East,Grocery,993356.59,21,47302.69
2025-01-12,East,Home & Kitchen,2295732.1,37,62046.81
2025-01-12,East,Sports,1473390.67,30,49113.02
2025-01-12,East,Toys,1773873.12,31,57221.71
2025-01-12,North,Beauty,1515393.14,29,52254.94
2025-01-12,North,Books,1784573.47,32,55767.92
2025-01-12,North,Clothing,1507786.77,35,43079.62
2025-01-12,North,Electronics,2213536.9,34,65104.03
2025-01-12,North,Grocery,2022890.83,35,57796.88
2025-01-12,North,Home & Kitchen,1920533.04,35,54872.37
2025-01-12,North,Sports,3027850.55,36,84106.96
2025-01-12,North,Toys,1743843.11,28,62280.11
2025-01-12,South,Beauty,1792425.9,32,56013.31
2025-01-12,South,Books,2059793.27,34,60582.16
2025-01-12,South,Clothing,1017404.22,21,48447.82
2025-01-12,South,Electronics,1742242.43,26,67009.32
2025-01-12,South,Grocery,1479062.21,25,59162.49
2025-01-12,South,Home & Kitchen,1297451.02,27,48053.74
2025-01-12,South,Sports,1561150.72,30,52038.36
2025-01-12,South,Toys,1407190.03,24,58632.92
2025-01-12,West,Beauty,2346211.32,42,55862.17
2025-01-12,West,Books,1717905.55,31,55416.31
2025-01-12,West,Clothing,1288788.33,29,44440.98
2025-01-12,West,Electronics,2085462.24,28,74480.79
2025-01-12,West,Grocery,1866025.63,37,50433.13
2025-01-12,West,Home & Kitchen,1776646.61,33,53837.78
2025-01-12,West,Sports,1373547.39,28,49055.26
2025-01-12,West,Toys,1863637.23,35,53246.78
2025-01-13,Central,Beauty,1522342.24,30,50744.74
2025-01-13,Central,Books,1327536.71,25,53101.47
2025-01-13,Central,Clothing,957048.43,28,34180.3
2025-01-13,Central,Electronics,1336321.87,28,47725.78
2025-01-13,Central,Grocery,1414193.78,28,50506.92
2025-01-13,Central,Home & Kitchen,1706211.38,24,71092.14
2025-01-13,Central,Sports,1711102.17,33,51851.58
2025-01-13,Central,Toys,2037326.61,35,58209.33
2025-01-13,East,Beauty,1554154.19,25,62166.17
2025-01-13,East,Books,1340626.08,31,43246.0
2025-01-13,East,Clothing,1719344.41,33,52101.35
2025-01-13,East,Electronics,2695027.71,42,64167.33
2025-01-13,East,Grocery,1957542.35,31,63146.53
2025-01-13,East,Home & Kitchen,1630417.21,28,58229.19
2025-01-13,East,Sports,1357066.6,33,41123.23
2025-01-13,East,Toys,1772475.71,36,49235.44
2025-01-13,North,Beauty,1145099.84,28,40896.42
2025-01-13,North,Books,1372356.87,26,52782.96
2025-01-13,North,Clothing,2013448.53,30,67114.95
2025-01-13,North,Electronics,1162525.52,19,61185.55
2025-01-13,North,Grocery,1927497.57,28,68839.2
2025-01-13,North,Home & Kitchen,1434763.94,31,46282.71
2025-01-13,North,Sports,1241083.45,24,51711.81
2025-01-13,North,Toys,848573.96,20,42428.7
2025-01-13,South,Beauty,1445833.68,30,48194.46
2025-01-13,South,Books,1435936.64,32,44873.02
2025-01-13,South,Clothing,1646123.32,29,56762.87
2025-01-13,South,Electronics,1296907.02,22,58950.32
2025-01-13,South,Grocery,1294431.16,32,40450.97
2025-01-13,South,Home & Kitchen,1738828.71,34,51142.02
2025-01-13,South,Sports,1887935.6,35,53941.02
2025-01-13,South,Toys,1433662.6,31,46247.18
2025-01-13,West,Beauty,2034429.08,35,58126.55
2025-01-13,West,Books,1270389.46,29,43806.53
