date,warehouse_id,region,total_orders,delivered_orders,cancelled_orders,shipped_orders,delivery_rate_pct,cancellation_rate_pct,shipment_rate_pct
2025-01-02,WH-BLR,East,21,3,2,4,14.29,9.52,19.05
2025-01-02,WH-BLR,North,21,4,6,5,19.05,28.57,23.81
2025-01-02,WH-BLR,South,18,1,7,2,5.56,38.89,11.11
2025-01-02,WH-BLR,West,16,1,6,1,6.25,37.5,6.25
2025-01-02,WH-CHE,Central,18,4,4,3,22.22,22.22,16.67
2025-01-02,WH-CHE,East,20,3,4,5,15.0,20.0,25.0
2025-01-02,WH-CHE,North,19,7,5,0,36.84,26.32,0.0
2025-01-02,WH-CHE,South,15,2,6,4,13.33,40.0,26.67
2025-01-02,WH-CHE,West,24,1,9,4,4.17,37.5,16.67
2025-01-02,WH-DEL,Central,23,4,5,7,17.39,21.74,30.43
2025-01-02,WH-DEL,East,17,2,3,3,11.76,17.65,17.65
2025-01-02,WH-DEL,North,16,8,2,1,50.0,12.5,6.25
2025-01-02,WH-DEL,South,20,4,3,3,20.0,15.0,15.0
2025-01-02,WH-DEL,West,14,1,3,8,7.14,21.43,57.14
2025-01-02,WH-HYD,Central,20,1,5,4,5.0,25.0,20.0
2025-01-02,WH-HYD,East,25,9,7,7,36.0,28.0,28.0
2025-01-02,WH-HYD,North,16,1,2,4,6.25,12.5,25.0
2025-01-02,WH-HYD,South,18,2,4,5,11.11,22.22,27.78
2025-01-02,WH-HYD,West,25,4,6,3,16.0,24.0,12.0
2025-01-02,WH-MUM,Central,14,3,2,6,21.43,14.29,42.86
2025-01-02,WH-MUM,East,14,4,2,4,28.57,14.29,28.57
2025-01-02,WH-MUM,North,24,4,3,8,16.67,12.5,33.33
2025-01-02,WH-MUM,South,21,4,4,4,19.05,19.05,19.05
2025-01-02,WH-MUM,West,19,0,5,6,0.0,26.32,31.58
2025-01-03,WH-BLR,Central,22,3,4,1,13.64,18.18,4.55
2025-01-03,WH-BLR,East,25,5,5,6,20.0,20.0,24.0
2025-01-03,WH-BLR,North,18,4,5,1,22.22,27.78,5.56
2025-01-03,WH-BLR,South,16,2,3,3,12.5,18.75,18.75
2025-01-03,WH-BLR,West,18,6,2,6,33.33,11.11,33.33
2025-01-03,WH-CHE,Central,15,3,3,3,20.0,20.0,20.0
2025-01-03,WH-CHE,East,17,5,3,4,29.41,17.65,23.53
2025-01-03,WH-CHE,North,17,2,6,3,11.76,35.29,17.65
2025-01-03,WH-CHE,South,20,3,5,4,15.0,25.0,20.0
2025-01-03,WH-CHE,West,16,3,4,3,18.75,25.0,18.75
2025-01-03,WH-DEL,Central,17,1,5,4,5.88,29.41,23.53
2025-01-03,WH-DEL,East,19,1,3,9,5.26,15.79,47.37
2025-01-03,WH-DEL,North,16,6,2,2,37.5,12.5,12.5
2025-01-03,WH-DEL,South,16,4,2,1,25.0,12.5,6.25
2025-01-03,WH-DEL,West,18,3,5,3,16.67,27.78,16.67
2025-01-03,WH-HYD,Central,22,7,6,5,31.82,27.27,22.73
2025-01-03,WH-HYD,East,17,2,5,4,11.76,29.41,23.53
2025-01-03,WH-HYD,North,20,7,4,2,35.0,20.0,10.0
2025-01-03,WH-HYD,South,21,7,1,6,33.33,4.76,28.57
2025-01-03,WH-HYD,West,14,3,4,3,21.43,28.57,21.43
2025-01-03,WH-MUM,Central,18,2,4,5,11.11,22.22,27.78
2025-01-03,WH-MUM,East,24,5,4,7,20.83,16.67,29.17
2025-01-03,WH-MUM,North,17,5,4,3,29.41,23.53,17.65
2025-01-03,WH-MUM,South,17,0,5,4,0.0,29.41,23.53
2025-01-03,WH-MUM,West,11,5,2,2,45.45,18.18,18.18
2025-01-04,WH-BLR,Central,16,2,3,9,12.5,18.75,56.25
2025-01-04,WH-BLR,East,24,3,8,6,12.5,33.33,25.0
2025-01-04,WH-BLR,North,24,2,5,8,8.33,20.83,33.33
2025-01-04,WH-BLR,South,16,5,1,3,31.25,6.25,18.75
2025-01-04,WH-BLR,West,25,4,6,6,16.0,24.0,24.0
2025-01-04,WH-CHE,Central,22,3,5,7,13.64,22.73,31.82
2025-01-04,WH-CHE,East,23,5,3,4,21.74,13.04,17.39
2025-01-04,WH-CHE,North,18,5,2,4,27.78,11.11,22.22
2025-01-04,WH-CHE,South,18,3,3,7,16.67,16.67,38.89
2025-01-04,WH-CHE,West,19,8,2,5,42.11,10.53,26.32
2025-01-04,WH-DEL,Central,20,2,4,3,10.0,20.0,15.0
2025-01-04,WH-DEL,East,26,4,3,8,15.38,11.54,30.77
2025-01-04,WH-DEL,North,22,2,11,4,9.09,50.0,18.18
2025-01-04,WH-DEL,South,11,3,2,2,27.27,18.18,18.18
2025-01-04,WH-DEL,West,15,4,3,2,26.67,20.0,13.33
2025-01-04,WH-HYD,Central,16,2,2,3,12.5,12.5,18.75
2025-01-04,WH-HYD,East,20,2,4,5,10.0,20.0,25.0
2025-01-04,WH-HYD,North,17,5,2,4,29.41,11.76,23.53
2025-01-04,WH-HYD,South,21,7,3,3,33.33,14.29,14.29
2025-01-04,WH-HYD,West,27,4,7,7,14.81,25.93,25.93
2025-01-04,WH-MUM,Central,21,4,2,4,19.05,9.52,19.05
2025-01-04,WH-MUM,East,20,2,5,4,10.0,25.0,20.0
2025-01-04,WH-MUM,North,16,6,1,3,37.5,6.25,18.75
2025-01-04,WH-MUM,South,15,2,6,0,13.33,40.0,0.0
2025-01-04,WH-MUM,West,24,8,3,2,33.33,12.5,8.33
2025-01-05,WH-BLR,Central,19,4,5,3,21.05,26.32,15.79
2025-01-05,WH-BLR,East,16,5,2,2,31.25,12.5,12.5
2025-01-05,WH-BLR,North,20,6,1,6,30.0,5.0,30.0
2025-01-05,WH-BLR,South,21,5,4,2,23.81,19.05,9.52
2025-01-05,WH-BLR,West,22,3,8,5,13.64,36.36,22.73
2025-01-05,WH-CHE,Central,22,2,6,5,9.09,27.27,22.73
2025-01-05,WH-CHE,East,17,0,5,5,0.0,29.41,29.41
2025-01-05,WH-CHE,North,24,4,3,9,16.67,12.5,37.5
2025-01-05,WH-CHE,South,21,4,7,3,19.05,33.33,14.29
2025-01-05,WH-CHE,West,20,5,4,6,25.0,20.0,30.0
2025-01-05,WH-DEL,Central,12,2,1,4,16.67,8.33,33.33
2025-01-05,WH-DEL,East,26,5,6,4,19.23,23.08,15.38
2025-01-05,WH-DEL,North,17,3,5,4,17.65,29.41,23.53
2025-01-05,WH-DEL,South,19,3,6,3,15.79,31.58,15.79
2025-01-05,WH-DEL,West,14,1,3,4,7.14,21.43,28.57
2025-01-05,WH-HYD,Central,24,3,4,1,12.5,16.67,4.17
2025-01-05,WH-HYD,East,16,3,4,3,18.75,25.0,18.75
2025-01-05,WH-HYD,North,13,4,3,3,30.77,23.08,23.08
2025-01-05,WH-HYD,South,16,2,4,0,12.5,25.0,0.0
2025-01-05,WH-HYD,West,14,4,2,3,28.57,14.29,21.43
2025-01-05,WH-MUM,Central,24,5,6,4,20.83,25.0,16.67
2025-01-05,WH-MUM,East,18,7,4,2,38.89,22.22,11.11
2025-01-05,WH-MUM,North,22,4,4,4,18.18,18.18,18.18
2025-01-05,WH-MUM,South,16,4,2,4,25.0,12.5,25.0
2025-01-05,WH-MUM,West,17,2,3,4,11.76,17.65,23.53
2025-01-06,WH-BLR,Central,15,3,3,3,20.0,20.0,20.0
2025-01-06,WH-BLR,East,14,3,4,3,21.43,28.57,21.43
2025-01-06,WH-BLR,North,20,5,2,4,25.0,10.0,20.0
2025-01-06,WH-BLR,South,19,2,6,3,10.53,31.58,15.79
2025-01-06,WH-BLR,West,18,5,2,4,27.78,11.11,22.22
2025-01-06,WH-CHE,Central,17,3,3,2,17.65,17.65,11.76
2025-01-06,WH-CHE,East,24,7,4,5,29.17,16.67,20.83
2025-01-06,WH-CHE,North,13,1,3,3,7.69,23.08,23.08
2025-01-06,WH-CHE,South,23,5,4,4,21.74,17.39,17.39
2025-01-06,WH-CHE,West,11,3,3,0,27.27,27.27,0.0
2025-01-06,WH-DEL,Central,29,5,5,8,17.24,17.24,27.59
2025-01-06,WH-DEL,East,14,1,3,2,7.14,21.43,14.29
2025-01-06,WH-DEL,North,22,7,2,3,31.82,9.09,13.64
2025-01-06,WH-DEL,South,20,4,4,7,20.0,20.0,35.0
2025-01-06,WH-DEL,West,12,0,2,3,0.0,16.67,25.0
2025-01-06,WH-HYD,Central,12,3,4,1,25.0,33.33,8.33
2025-01-06,WH-HYD,East,14,3,2,2,21.43,14.29,14.29
2025-01-06,WH-HYD,North,15,2,4,3,13.33,26.67,20.0
2025-01-06,WH-HYD,South,17,2,3,5,11.76,17.65,29.41
2025-01-06,WH-HYD,West,15,3,6,3,20.0,40.0,20.0
2025-01-06,WH-MUM,Central,19,4,4,4,21.05,21.05,21.05
2025-01-06,WH-MUM,East,20,5,3,3,25.0,15.0,15.0
2025-01-06,WH-MUM,North,13,4,4,1,30.77,30.77,7.69
2025-01-06,WH-MUM,South,19,3,2,9,15.79,10.53,47.37
2025-01-06,WH-MUM,West,22,3,2,6,13.64,9.09,27.27
2025-01-07,WH-BLR,Central,38,8,5,10,21.05,13.16,26.32
2025-01-07,WH-BLR,East,20,5,5,2,25.0,25.0,10.0
2025-01-07,WH-BLR,North,16,2,6,2,12.5,37.5,12.5
2025-01-07,WH-BLR,South,18,3,8,1,16.67,44.44,5.56
2025-01-07,WH-BLR,West,16,2,3,1,12.5,18.75,6.25
2025-01-07,WH-CHE,Central,19,3,4,1,15.79,21.05,5.26
2025-01-07,WH-CHE,East,12,3,3,2,25.0,25.0,16.67
2025-01-07,WH-CHE,North,25,5,7,3,20.0,28.0,12.0
2025-01-07,WH-CHE,South,23,2,2,6,8.7,8.7,26.09
2025-01-07,WH-CHE,West,24,5,5,4,20.83,20.83,16.67
2025-01-07,WH-DEL,Central,18,4,6,3,22.22,33.33,16.67
2025-01-07,WH-DEL,East,14,5,1,3,35.71,7.14,21.43
2025-01-07,WH-DEL,North,23,5,7,4,21.74,30.43,17.39
2025-01-07,WH-DEL,South,16,1,5,4,6.25,31.25,25.0
2025-01-07,WH-DEL,West,30,5,2,11,16.67,6.67,36.67
2025-01-07,WH-HYD,Central,16,1,4,5,6.25,25.0,31.25
2025-01-07,WH-HYD,East,17,3,5,7,17.65,29.41,41.18
2025-01-07,WH-HYD,North,24,3,5,4,12.5,20.83,16.67
2025-01-07,WH-HYD,South,14,3,7,1,21.43,50.0,7.14
2025-01-07,WH-HYD,West,14,4,2,4,28.57,14.29,28.57
2025-01-07,WH-MUM,Central,18,2,8,4,11.11,44.44,22.22
2025-01-07,WH-MUM,East,14,2,3,2,14.29,21.43,14.29
2025-01-07,WH-MUM,North,13,1,1,3,7.69,7.69,23.08
2025-01-07,WH-MUM,South,15,3,1,3,20.0,6.67,20.0
2025-01-07,WH-MUM,West,20,7,4,1,35.0,20.0,5.0
2025-01-08,WH-BLR,Central,14,1,4,5,7.14,28.57,35.71
2025-01-08,WH-BLR,East,23,5,5,5,21.74,21.74,21.74
2025-01-08,WH-BLR,North,17,2,6,4,11.76,35.29,23.53
2025-01-08,WH-BLR,South,23,5,6,3,21.74,26.09,13.04
2025-01-08,WH-BLR,West,22,2,5,5,9.09,22.73,22.73
2025-01-08,WH-CHE,Central,22,4,4,5,18.18,18.18,22.73
2025-01-08,WH-CHE,East,20,1,3,9,5.0,15.0,45.0
2025-01-08,WH-CHE,North,16,4,2,2,25.0,12.5,12.5
2025-01-08,WH-CHE,South,11,2,4,3,18.18,36.36,27.27
2025-01-08,WH-CHE,West,18,2,6,5,11.11,33.33,27.78
2025-01-08,WH-DEL,Central,12,1,1,0,8.33,8.33,0.0
2025-01-08,WH-DEL,East,24,4,12,0,16.67,50.0,0.0
2025-01-08,WH-DEL,North,15,6,2,3,40.0,13.33,20.0
2025-01-08,WH-DEL,South,21,8,4,1,38.1,19.05,4.76
2025-01-08,WH-DEL,West,19,1,5,5,5.26,26.32,26.32
2025-01-08,WH-HYD,Central,18,5,3,5,27.78,16.67,27.78
2025-01-08,WH-HYD,East,21,6,5,8,28.57,23.81,38.1
2025-01-08,WH-HYD,North,20,2,5,6,10.0,25.0,30.0
2025-01-08,WH-HYD,South,13,2,2,3,15.38,15.38,23.08
2025-01-08,WH-HYD,West,16,6,2,1,37.5,12.5,6.25
2025-01-08,WH-MUM,Central,28,7,7,6,25.0,25.0,21.43
2025-01-08,WH-MUM,East,23,4,2,6,17.39,8.7,26.09
2025-01-08,WH-MUM,North,25,12,5,4,48.0,20.0,16.0
2025-01-08,WH-MUM,South,21,6,4,4,28.57,19.05,19.05
2025-01-08,WH-MUM,West,17,3,2,5,17.65,11.76,29.41
2025-01-09,WH-BLR,Central,18,6,1,4,33.33,5.56,22.22
2025-01-09,WH-BLR,East,16,0,1,3,0.0,6.25,18.75
2025-01-09,WH-BLR,North,26,7,1,8,26.92,3.85,30.77
2025-01-09,WH-BLR,South,18,3,1,2,16.67,5.56,11.11
2025-01-09,WH-BLR,West,24,10,6,1,41.67,25.0,4.17
2025-01-09,WH-CHE,Central,20,4,2,3,20.0,10.0,15.0
2025-01-09,WH-CHE,East,17,5,6,1,29.41,35.29,5.88
2025-01-09,WH-CHE,North,19,6,5,3,31.58,26.32,15.79
2025-01-09,WH-CHE,South,16,1,3,5,6.25,18.75,31.25
2025-01-09,WH-CHE,West,22,4,4,5,18.18,18.18,22.73
2025-01-09,WH-DEL,Central,19,2,5,7,10.53,26.32,36.84
2025-01-09,WH-DEL,East,16,2,1,7,12.5,6.25,43.75
2025-01-09,WH-DEL,North,19,2,7,1,10.53,36.84,5.26
2025-01-09,WH-DEL,South,22,6,2,7,27.27,9.09,31.82
2025-01-09,WH-DEL,West,17,3,3,7,17.65,17.65,41.18
2025-01-09,WH-HYD,Central,19,4,3,6,21.05,15.79,31.58
2025-01-09,WH-HYD,East,17,6,1,0,35.29,5.88,0.0
2025-01-09,WH-HYD,North,15,6,1,2,40.0,6.67,13.33
2025-01-09,WH-HYD,South,16,5,5,2,31.25,31.25,12.5
2025-01-09,WH-HYD,West,15,1,4,4,6.67,26.67,26.67
2025-01-09,WH-MUM,Central,13,1,1,3,7.69,7.69,23.08
2025-01-09,WH-MUM,East,19,4,1,3,21.05,5.26,15.79
2025-01-09,WH-MUM,North,11,2,0,2,18.18,0.0,18.18
2025-01-09,WH-MUM,South,16,2,4,6,12.5,25.0,37.5
2025-01-09,WH-MUM,West,24,4,4,5,16.67,16.67,20.83
2025-01-10,WH-BLR,Central,22,4,6,4,18.18,27.27,18.18
2025-01-10,WH-BLR,East,24,5,5,5,20.83,20.83,20.83
2025-01-10,WH-BLR,North,16,2,5,2,12.5,31.25,12.5
2025-01-10,WH-BLR,South,17,3,5,4,17.65,29.41,23.53
2025-01-10,WH-BLR,West,15,0,0,3,0.0,0.0,20.0
2025-01-10,WH-CHE,Central,19,5,4,2,26.32,21.05,10.53
2025-01-10,WH-CHE,East,19,6,4,2,31.58,21.05,10.53
2025-01-10,WH-CHE,North,17,2,4,3,11.76,23.53,17.65
2025-01-10,WH-CHE,South,17,0,5,4,0.0,29.41,23.53
2025-01-10,WH-CHE,West,21,4,2,3,19.05,9.52,14.29
2025-01-10,WH-DEL,Central,18,5,2,3,27.78,11.11,16.67
2025-01-10,WH-DEL,East,11,3,0,1,27.27,0.0,9.09
2025-01-10,WH-DEL,North,16,8,4,2,50.0,25.0,12.5
2025-01-10,WH-DEL,South,17,1,5,5,5.88,29.41,29.41
2025-01-10,WH-DEL,West,14,4,5,0,28.57,35.71,0.0
2025-01-10,WH-HYD,Central,20,8,1,3,40.0,5.0,15.0
2025-01-10,WH-HYD,East,14,3,1,3,21.43,7.14,21.43
2025-01-10,WH-HYD,North,19,2,5,2,10.53,26.32,10.53
2025-01-10,WH-HYD,South,17,5,5,3,29.41,29.41,17.65
2025-01-10,WH-HYD,West,17,4,1,3,23.53,5.88,17.65
2025-01-10,WH-MUM,Central,19,5,4,2,26.32,21.05,10.53
2025-01-10,WH-MUM,East,18,1,4,4,5.56,22.22,22.22
2025-01-10,WH-MUM,North,15,4,4,4,26.67,26.67,26.67
2025-01-10,WH-MUM,South,25,8,4,5,32.0,16.0,20.0
2025-01-10,WH-MUM,West,9,5,1,1,55.56,11.11,11.11
2025-01-11,WH-BLR,Central,18,3,3,3,16.67,16.67,16.67
2025-01-11,WH-BLR,East,19,5,6,3,26.32,31.58,15.79
2025-01-11,WH-BLR,North,16,4,4,4,25.0,25.0,25.0
2025-01-11,WH-BLR,South,29,8,5,5,27.59,17.24,17.24
2025-01-11,WH-BLR,West,23,4,3,5,17.39,13.04,21.74
2025-01-11,WH-CHE,Central,14,3,3,2,21.43,21.43,14.29
2025-01-11,WH-CHE,East,20,6,2,6,30.0,10.0,30.0
2025-01-11,WH-CHE,North,14,2,3,3,14.29,21.43,21.43
2025-01-11,WH-CHE,South,17,0,8,3,0.0,47.06,17.65
2025-01-11,WH-CHE,West,16,2,3,6,12.5,18.75,37.5
2025-01-11,WH-DEL,Central,19,4,4,5,21.05,21.05,26.32
2025-01-11,WH-DEL,East,16,3,6,3,18.75,37.5,18.75
2025-01-11,WH-DEL,North,13,1,4,3,7.69,30.77,23.08
2025-01-11,WH-DEL,South,22,4,2,7,18.18,9.09,31.82
2025-01-11,WH-DEL,West,20,2,2,5,10.0,10.0,25.0
2025-01-11,WH-HYD,Central,22,4,2,4,18.18,9.09,18.18
2025-01-11,WH-HYD,East,24,4,4,5,16.67,16.67,20.83
2025-01-11,WH-HYD,North,23,4,10,3,17.39,43.48,13.04
2025-01-11,WH-HYD,South,15,3,0,6,20.0,0.0,40.0
2025-01-11,WH-HYD,West,14,3,6,1,21.43,42.86,7.14
2025-01-11,WH-MUM,Central,15,4,3,1,26.67,20.0,6.67
2025-01-11,WH-MUM,East,24,6,5,3,25.0,20.83,12.5
2025-01-11,WH-MUM,North,17,3,5,4,17.65,29.41,23.53
2025-01-11,WH-MUM,South,24,4,7,8,16.67,29.17,33.33
2025-01-11,WH-MUM,West,19,3,6,6,15.79,31.58,31.58
2025-01-12,WH-BLR,Central,18,3,5,3,16.67,27.78,16.67
2025-01-12,WH-BLR,East,22,6,3,6,27.27,13.64,27.27
2025-01-12,WH-BLR,North,15,2,4,5,13.33,26.67,33.33
2025-01-12,WH-BLR,South,14,1,3,2,7.14,21.43,14.29
2025-01-12,WH-BLR,West,18,7,2,4,38.89,11.11,22.22
2025-01-12,WH-CHE,Central,15,4,3,4,26.67,20.0,26.67
2025-01-12,WH-CHE,East,17,2,7,4,11.76,41.18,23.53
2025-01-12,WH-CHE,North,22,5,3,7,22.73,13.64,31.82
2025-01-12,WH-CHE,South,19,6,3,5,31.58,15.79,26.32
2025-01-12,WH-CHE,West,19,8,2,3,42.11,10.53,15.79
2025-01-12,WH-DEL,Central,25,2,5,10,8.0,20.0,40.0
2025-01-12,WH-DEL,East,18,5,2,2,27.78,11.11,11.11
2025-01-12,WH-DEL,North,17,3,2,4,17.65,11.76,23.53
2025-01-12,WH-DEL,South,16,5,4,3,31.25,25.0,18.75
2025-01-12,WH-DEL,West,17,5,2,5,29.41,11.76,29.41
2025-01-12,WH-HYD,Central,15,3,2,2,20.0,13.33,13.33
2025-01-12,WH-HYD,East,23,7,7,2,30.43,30.43,8.7
2025-01-12,WH-HYD,North,28,6,2,5,21.43,7.14,17.86
2025-01-12,WH-HYD,South,21,5,3,4,23.81,14.29,19.05
2025-01-12,WH-HYD,West,19,4,3,5,21.05,15.79,26.32
2025-01-12,WH-MUM,Central,12,2,5,1,16.67,41.67,8.33
2025-01-12,WH-MUM,East,17,5,1,4,29.41,5.88,23.53
2025-01-12,WH-MUM,North,21,2,5,4,9.52,23.81,19.05
2025-01-12,WH-MUM,South,14,4,6,1,28.57,42.86,7.14
2025-01-12,WH-MUM,West,19,1,2,4,5.26,10.53,21.05
2025-01-13,WH-BLR,Central,18,3,3,6,16.67,16.67,33.33
2025-01-13,WH-BLR,East,19,6,5,2,31.58,26.32,10.53
2025-01-13,WH-BLR,North,20,7,5,1,35.0,25.0,5.0
2025-01-13,WH-BLR,South,16,5,4,2,31.25,25.0,12.5
2025-01-13,WH-BLR,West,17,2,7,3,11.76,41.18,17.65
2025-01-13,WH-CHE,Central,25,8,6,1,32.0,24.0,4.0
2025-01-13,WH-CHE,East,30,2,7,8,6.67,23.33,26.67
2025-01-13,WH-CHE,North,19,8,3,3,42.11,15.79,15.79
2025-01-13,WH-CHE,South,25,1,5,6,4.0,20.0,24.0
2025-01-13,WH-CHE,West,21,3,4,8,14.29,19.05,38.1
2025-01-13,WH-DEL,Central,20,6,3,3,30.0,15.0,15.0
2025-01-13,WH-DEL,East,17,5,3,4,29.41,17.65,23.53
2025-01-13,WH-DEL,North,14,1,3,5,7.14,21.43,35.71
2025-01-13,WH-DEL,South,23,4,9,5,17.39,39.13,21.74
2025-01-13,WH-DEL,West,12,1,1,5,8.33,8.33,41.67
2025-01-13,WH-HYD,Central,23,5,8,0,21.74,34.78,0.0
2025-01-13,WH-HYD,East,26,7,5,6,26.92,19.23,23.08
2025-01-13,WH-HYD,North,13,4,3,5,30.77,23.08,38.46
2025-01-13,WH-HYD,South,17,3,4,5,17.65,23.53,29.41
2025-01-13,WH-HYD,West,28,6,8,6,21.43,28.57,21.43
2025-01-13,WH-MUM,Central,12,1,3,2,8.33,25.0,16.67
2025-01-13,WH-MUM,East,11,2,3,2,18.18,27.27,18.18
2025-01-13,WH-MUM,North,24,7,6,5,29.17,25.0,20.83
2025-01-13,WH-MUM,South,21,6,4,2,28.57,19.05,9.52
2025-01-13,WH-MUM,West,15,3,4,3,20.0,26.67,20.0
2025-01-14,WH-BLR,Central,18,4,7,2,22.22,38.89,11.11
2025-01-14,WH-BLR,East,26,5,7,4,19.23,26.92,15.38
2025-01-14,WH-BLR,North,24,5,4,4,20.83,16.67,16.67
2025-01-14,WH-BLR,South,20,2,5,3,10.0,25.0,15.0
2025-01-14,WH-BLR,West,20,4,1,2,20.0,5.0,10.0
2025-01-14,WH-CHE,Central,22,2,5,4,9.09,22.73,18.18
2025-01-14,WH-CHE,East,19,7,3,1,36.84,15.79,5.26
2025-01-14,WH-CHE,North,12,4,1,4,33.33,8.33,33.33
2025-01-14,WH-CHE,South,14,3,2,3,21.43,14.29,21.43
2025-01-14,WH-CHE,West,18,3,6,2,16.67,33.33,11.11
2025-01-14,WH-DEL,Central,20,4,5,7,20.0,25.0,35.0
2025-01-14,WH-DEL,East,24,7,3,5,29.17,12.5,20.83
2025-01-14,WH-DEL,North,22,3,7,6,13.64,31.82,27.27
2025-01-14,WH-DEL,South,23,6,4,5,26.09,17.39,21.74
2025-01-14,WH-DEL,West,21,5,6,4,23.81,28.57,19.05
2025-01-14,WH-HYD,Central,19,7,2,2,36.84,10.53,10.53
2025-01-14,WH-HYD,East,14,5,2,4,35.71,14.29,28.57
2025-01-14,WH-HYD,North,21,1,4,3,4.76,19.05,14.29
2025-01-14,WH-HYD,South,13,7,2,3,53.85,15.38,23.08
2025-01-14,WH-HYD,West,20,4,6,6,20.0,30.0,30.0
2025-01-14,WH-MUM,Central,16,4,4,0,25.0,25.0,0.0
2025-01-14,WH-MUM,East,15,1,3,4,6.67,20.0,26.67
2025-01-14,WH-MUM,North,21,2,4,5,9.52,19.05,23.81
2025-01-14,WH-MUM,South,14,1,1,4,7.14,7.14,28.57
2025-01-14,WH-MUM,West,20,6,4,4,30.0,20.0,20.0
2025-01-15,WH-BLR,Central,19,3,8,3,15.79,42.11,15.79
2025-01-15,WH-BLR,East,15,3,3,4,20.0,20.0,26.67
2025-01-15,WH-BLR,North,23,5,5,1,21.74,21.74,4.35
2025-01-15,WH-BLR,South,16,5,2,3,31.25,12.5,18.75
2025-01-15,WH-BLR,West,21,4,2,7,19.05,9.52,33.33
2025-01-15,WH-CHE,Central,22,1,4,5,4.55,18.18,22.73
2025-01-15,WH-CHE,East,14,3,1,4,21.43,7.14,28.57
2025-01-15,WH-CHE,North,14,4,3,3,28.57,21.43,21.43
2025-01-15,WH-CHE,South,13,1,4,5,7.69,30.77,38.46
2025-01-15,WH-CHE,West,17,3,3,5,17.65,17.65,29.41
2025-01-15,WH-DEL,Central,21,7,2,4,33.33,9.52,19.05
2025-01-15,WH-DEL,East,25,4,4,8,16.0,16.0,32.0
2025-01-15,WH-DEL,North,24,3,6,5,12.5,25.0,20.83
2025-01-15,WH-DEL,South,19,5,7,2,26.32,36.84,10.53
2025-01-15,WH-DEL,West,21,4,5,4,19.05,23.81,19.05
2025-01-15,WH-HYD,Central,25,6,5,4,24.0,20.0,16.0
2025-01-15,WH-HYD,East,23,3,5,3,13.04,21.74,13.04
2025-01-15,WH-HYD,North,17,2,1,9,11.76,5.88,52.94
2025-01-15,WH-HYD,South,16,5,4,3,31.25,25.0,18.75
2025-01-15,WH-HYD,West,15,4,2,3,26.67,13.33,20.0
2025-01-15,WH-MUM,Central,17,2,4,5,11.76,23.53,29.41
2025-01-15,WH-MUM,East,20,3,6,3,15.0,30.0,15.0
2025-01-15,WH-MUM,North,18,2,1,6,11.11,5.56,33.33
2025-01-15,WH-MUM,South,17,4,2,2,23.53,11.76,11.76
2025-01-15,WH-MUM,West,14,4,3,2,28.57,21.43,14.29
2025-01-16,WH-BLR,Central,19,4,5,3,21.05,26.32,15.79
2025-01-16,WH-BLR,East,25,4,6,4,16.0,24.0,16.0
2025-01-16,WH-BLR,North,12,0,2,2,0.0,16.67,16.67
2025-01-16,WH-BLR,South,25,7,4,6,28.0,16.0,24.0
2025-01-16,WH-BLR,West,28,5,2,3,17.86,7.14,10.71
2025-01-16,WH-CHE,Central,20,3,3,7,15.0,15.0,35.0
2025-01-16,WH-CHE,East,15,6,4,1,40.0,26.67,6.67
